BRCA	HNSC	KIRC	KIRP	LIHC	LUSC	PRAD	STAD	THCA
hsa-mir-125b-2	-1.61568045354476	-1.20922614189975	-0.828950575329903	-0.54354599829787	-0.672380834210548	-0.33289256842795	-0.141876429929277	-1.04673404148713	0.518254773672675
hsa-mir-126	-0.689214040591243	-0.725348338485041	0.650308547287379	-1.87945622680082	-0.296991856227264	-1.25582011981137	0.606399645980417	0.0333911781382943	-0.343896721260202
hsa-mir-1262	-1.22567178133536	-0.458628308050949	0.174052887102241	-0.0734141255437995	0.307380843446463	0.0371912377771103	-0.134901770339181	-1.09694786514155	-0.23643923957604
hsa-mir-1266	0.851484786943206	-0.0354884353795706	0.0843361125364774	0.790327685743959	2.17599898958908	0.828995216297202	0.258118205610616	0.806255972175223	0.18767354719727
hsa-mir-127	-0.611878968880912	-1.07900415873842	-1.39893634361441	-1.74827325644772	-0.0604551311264483	0.574860112757185	-0.623644325653985	-0.112874247858873	-0.107384157035729
hsa-mir-1270	0.653756975655024	0.0826857498260666	2.22096861606307	1.3349720826372	2.11988908160581	1.80094335026526	0.220833571217373	0.323201677125105	-0.289448855226683
hsa-mir-1271	-0.605264086149815	0.253457437873059	1.16186665958042	0.148525071249894	-0.655405082185057	1.37333355086936	-0.288280890613632	-0.5252843772697	-0.273535478588546
hsa-mir-1277	1.98692822555414	0.210157848786825	0.822394851079421	0.672933955752951	-0.282207369113546	1.4348244134672	0.508869055216932	0.0215704048777105	0.824428016552255
hsa-mir-128-1	0.670439587602958	-0.200751129836807	0.134994198708384	0.254229971397931	0.797465674904148	1.33635772186748	-0.0398538512049365	0.385696704425041	-0.0365834353201086
hsa-mir-128-2	0.787567499253674	-0.0998514117236536	0.243715615323452	0.256857994782126	0.874182801304921	1.37073526609145	-0.227814268884118	0.318192979474708	-0.00610196558481944
hsa-mir-1287	0.0171317995640912	-0.460619208198656	0.28689012180425	0.697132603335376	0.423726532469909	-0.0302041497741614	-0.134215780472547	-0.182865188022944	-0.136348342079453
hsa-mir-1288	0.483863299255049	0.683896586853404	-0.219311755376489	0.638594981602779	0.791582625693983	0.747902948728077	-0.184119056377092	0.649854842827052	0.434799165546346
hsa-mir-129-1	-0.717111284235025	0.785159407068615	-4.02801923604215	-3.09588853260855	0.983671494668544	3.68702127231846	-0.91325503095369	0.394388385944824	-0.132676171878717
hsa-mir-129-2	-0.803258359501356	0.64026135759177	-3.94140647934084	-3.12261068594938	1.03925368436061	3.63795135328359	-0.874541532186968	0.415693032705209	-0.128736516634726
hsa-mir-1296	-0.420530695449017	0.113313163956048	-1.02412074906326	-0.905857483947858	-0.114223704838614	1.30288544226024	0.427995761857495	-0.380731269288096	-0.0793692929445617
hsa-mir-1301	2.01027375508719	1.73531161220667	0.251423301352117	0.608887580490562	1.19037103140874	1.62847456564054	0.115378253841533	1.22141567928931	0.39533966830075
hsa-mir-1306	0.546895256095662	1.08704113419549	0.23248243021801	0.263372624943635	0.531654576267732	2.02655187901868	-0.0207241929428499	0.223404266305454	0.107649577237521
hsa-mir-1307	1.14760403605101	1.02077935402165	0.472402695022173	1.15573774603788	0.765836251575969	1.53108747048604	0.102925007451948	0.863452607666192	0.828051501852787
hsa-mir-130a	-0.799402718076226	0.15767205420498	-0.76180320338522	-0.770073457192763	-1.53473049287916	-0.0330067074122618	-0.344807364351187	-0.410012161562947	-0.353685390119873
hsa-mir-130b	1.60227843977766	1.22446748693527	0.93577459695136	1.05581528671993	0.964407304680249	2.81758373643924	0.940765591527002	0.925910883116149	-0.186069522583459
hsa-mir-132	-0.522223934735591	0.124154817466076	-0.252412255496672	0.155693114298339	0.739278848054478	0.310952330928988	-0.0483183893985419	0.146768162790019	0.386038747579532
hsa-mir-133a-1	-7.58440768714963	-2.34323204204711	-1.44140373671723	-2.46117698191396	0.135738533447703	-2.2213900713393	-0.991424058078124	-3.24010329467563	0.121282176174652
hsa-mir-133a-2	-7.39965882423467	-2.37441118090045	-1.44557275791129	-2.42279489260857	0.182107256959823	-2.20630280539389	-0.92552929168573	-3.33347081135351	0.053372540055614
hsa-mir-134	-0.58890023567135	-0.260540842907747	-1.05211741058548	-1.29122250161304	-0.40428620336983	1.02523021042709	-0.625677308234606	0.335864352789468	-0.380307359446968
hsa-mir-1343	-0.052024804115741	1.05181665150448	-0.360293050489958	0.385288572778363	0.812386756373999	1.90683759519172	0.673872507257887	0.752900253276834	-0.146521444769289
hsa-mir-135b	2.37696607889183	0.921582600338815	-1.18413791679316	1.44355668954349	1.16617167454825	1.80985815851451	-1.52832095492173	3.05365932595912	0.542143122294432
hsa-mir-136	-0.0616940066557976	-1.52964370199467	-1.6196645165444	-2.18499231580166	-0.961389642649955	1.0182449305577	-0.635387172169046	-0.531949913810838	-0.194984842181904
hsa-mir-139	-2.8341459404001	-1.93655038766241	-0.70069623409986	-1.50139947287981	-1.63885355969614	-1.95955015858048	-0.401262715118815	-2.43251606348009	-0.793426337830858
hsa-mir-140	-1.47650452217975	-1.03353491236461	0.325436344636728	-0.0377064615561686	0.646627208862178	-1.59312069352401	-0.0615909079512761	-1.02574750250936	-0.339931713967454
hsa-mir-141	2.09419761295622	0.344253689319379	-4.80630573390791	-1.21291120432951	0.81563049836161	1.47629138107244	0.865092646734812	0.811139564800335	0.667358996031031
hsa-mir-142	2.016330795503	0.0848979008741041	1.98742146377748	1.2166614369393	-1.04786038321106	0.649692910093424	0.61942911722087	0.824474906641295	-0.515000559021584
hsa-mir-143	-1.34128873405706	-0.817548647180481	0.245846272773288	-0.914902682969907	0.631438265143535	-1.27958953986103	-1.013258456809	-1.889205341929	-0.316587176634475
hsa-mir-144	-3.49235805608765	-1.27235978864575	1.33072520396987	1.1476647847738	-1.08963546520099	-2.88797547616507	-0.895082938133302	-1.62340904630755	-2.18078015038685
hsa-mir-145	-2.16390369056465	-0.739489626654655	-0.814440096264736	-2.30786868246484	-0.868825347560495	-0.923629724390182	-0.448539538292574	-2.35786929242203	-0.707024766048075
hsa-mir-1468	-0.828518539881517	-1.22992511712959	-0.365856725770987	-0.669357042883945	-0.37647034914288	-0.603934987066228	-0.0787668011522955	-0.323088031932296	0.15985157748893
