feature	type	cluster	regulation
hsa-mir-100	TS	Pan-cancer	--
hsa-mir-101-1	TS	Pan-cancer	--
hsa-mir-101-2	TS	Pan-cancer	--
hsa-mir-106a		Pan-cancer	++
hsa-mir-10b		Pan-cancer	--
hsa-mir-1-2	TS	Pan-cancer	--
hsa-mir-125a	TS	Pan-cancer	--
hsa-mir-125b-1		Pan-cancer	--
hsa-mir-130b		Pan-cancer	++
hsa-mir-133a-1	TS	Pan-cancer	--
hsa-mir-133a-2	TS	Pan-cancer	--
hsa-mir-133b	TS	Pan-cancer	--
hsa-mir-135b	O	Pan-cancer	++
hsa-mir-139	TS	Pan-cancer	--
hsa-mir-140	TS	Pan-cancer	--
hsa-mir-142		Pan-cancer	++
hsa-mir-143	TS	Pan-cancer	--
hsa-mir-145	TS	Pan-cancer	--
hsa-mir-17	O	Pan-cancer	++
hsa-mir-182	O	Pan-cancer	++
hsa-mir-183	O	Pan-cancer	++
hsa-mir-18a	O	Pan-cancer	++
hsa-mir-192		Pan-cancer	++
hsa-mir-195	TS	Pan-cancer	--
hsa-mir-19a	O	Pan-cancer	++
hsa-mir-204	TS	Pan-cancer	--
hsa-mir-21	O	Pan-cancer	++
hsa-mir-210	O	Pan-cancer	++
hsa-mir-214		Pan-cancer	--
hsa-mir-224	O	Pan-cancer	++
hsa-mir-26a-2	TS	Pan-cancer	--
hsa-mir-26b		Pan-cancer	--
hsa-mir-27b		Pan-cancer	--
hsa-mir-29a		Pan-cancer	--
hsa-mir-301a	O	Pan-cancer	++
hsa-mir-331		Pan-cancer	++
hsa-mir-345		Pan-cancer	++
hsa-mir-378a		Pan-cancer	--
hsa-mir-451a	TS	Pan-cancer	--
hsa-mir-455		Pan-cancer	++
hsa-mir-486-1	TS	Pan-cancer	--
hsa-mir-486-2	TS	Pan-cancer	--
hsa-mir-497	TS	Pan-cancer	--
hsa-mir-7-1		Pan-cancer	++
hsa-mir-93	O	Pan-cancer	++
hsa-mir-96	O	Pan-cancer	++
hsa-mir-99a	TS	Pan-cancer	--
hsa-let-7a-1		Pan-cancer	--
hsa-let-7a-2		Pan-cancer	--
hsa-let-7a-3		Pan-cancer	--
hsa-let-7b	TS	Pan-cancer	--
hsa-let-7c	TS	Pan-cancer	--
hsa-mir-100	TS	Colorectal cancer	--
hsa-mir-106b	O	Colorectal cancer	++
hsa-mir-1-1	TS	Colorectal cancer	--
hsa-mir-1-2	TS	Colorectal cancer	--
hsa-mir-125a	TS	Colorectal cancer	--
hsa-mir-125b-1		Colorectal cancer	--
hsa-mir-125b-2		Colorectal cancer	--
hsa-mir-129-1	TS	Colorectal cancer	--
hsa-mir-129-2	TS	Colorectal cancer	--
hsa-mir-130b		Colorectal cancer	++
hsa-mir-133a-1	TS	Colorectal cancer	--
hsa-mir-133a-2	TS	Colorectal cancer	--
hsa-mir-133b	TS	Colorectal cancer	--
hsa-mir-135b	O	Colorectal cancer	++
hsa-mir-139	TS	Colorectal cancer	--
hsa-mir-140	TS	Colorectal cancer	--
hsa-mir-143	TS	Colorectal cancer	--
hsa-mir-145	TS	Colorectal cancer	--
hsa-mir-149		Colorectal cancer	--
hsa-mir-150		Colorectal cancer	--
hsa-mir-17	O	Colorectal cancer	++
hsa-mir-182	O	Colorectal cancer	++
hsa-mir-183	O	Colorectal cancer	++
hsa-mir-18a	O	Colorectal cancer	++
hsa-mir-195	TS	Colorectal cancer	--
hsa-mir-19a	O	Colorectal cancer	++
hsa-mir-19b-1		Colorectal cancer	++
hsa-mir-19b-2		Colorectal cancer	++
hsa-mir-203a		Colorectal cancer	++
hsa-mir-20a	O	Colorectal cancer	++
hsa-mir-21	O	Colorectal cancer	++
hsa-mir-210	O	Colorectal cancer	++
hsa-mir-221		Colorectal cancer	++
hsa-mir-224	O	Colorectal cancer	++
hsa-mir-23b		Colorectal cancer	--
hsa-mir-26a-1	TS	Colorectal cancer	--
hsa-mir-26a-2	TS	Colorectal cancer	--
hsa-mir-27b		Colorectal cancer	--
hsa-mir-28		Colorectal cancer	--
hsa-mir-29c	TS	Colorectal cancer	--
hsa-mir-30a	TS	Colorectal cancer	--
hsa-mir-30c-1	TS	Colorectal cancer	--
hsa-mir-30c-2	TS	Colorectal cancer	--
hsa-mir-30e		Colorectal cancer	--
hsa-mir-31		Colorectal cancer	++
hsa-mir-320a		Colorectal cancer	--
hsa-mir-375		Colorectal cancer	--
hsa-mir-378a		Colorectal cancer	--
hsa-mir-423		Colorectal cancer	--
hsa-mir-486-1	TS	Colorectal cancer	--
hsa-mir-486-2	TS	Colorectal cancer	--
hsa-mir-497	TS	Colorectal cancer	--
hsa-mir-7-1		Colorectal cancer	++
hsa-mir-7-2		Colorectal cancer	++
hsa-mir-7-3		Colorectal cancer	++
hsa-mir-96	O	Colorectal cancer	++
hsa-mir-99a	TS	Colorectal cancer	--
hsa-mir-99b		Colorectal cancer	--
hsa-let-7b	TS	Colorectal cancer	--
hsa-let-7c	TS	Colorectal cancer	--
hsa-let-7g		Colorectal cancer	--
hsa-mir-103a-1	O	Gastric cancer	++
hsa-mir-103a-2	O	Gastric cancer	++
hsa-mir-107		Gastric cancer	++
hsa-mir-10b		Gastric cancer	--
hsa-mir-125a	TS	Gastric cancer	--
hsa-mir-125b-1		Gastric cancer	++
hsa-mir-125b-2		Gastric cancer	++
hsa-mir-135b	O	Gastric cancer	++
hsa-mir-139	TS	Gastric cancer	--
hsa-mir-142		Gastric cancer	++
hsa-mir-146b		Gastric cancer	++
hsa-mir-148a		Gastric cancer	--
hsa-mir-15a		Gastric cancer	++
hsa-mir-16-1		Gastric cancer	++
hsa-mir-16-2		Gastric cancer	++
hsa-mir-17	O	Gastric cancer	++
hsa-mir-181c		Gastric cancer	--
hsa-mir-18a	O	Gastric cancer	++
hsa-mir-192		Gastric cancer	++
hsa-mir-193b		Gastric cancer	--
hsa-mir-199a-1		Gastric cancer	++
hsa-mir-199a-2		Gastric cancer	++
hsa-mir-199b		Gastric cancer	++
hsa-mir-19a	O	Gastric cancer	++
hsa-mir-200a		Gastric cancer	++
hsa-mir-200b		Gastric cancer	++
hsa-mir-20a	O	Gastric cancer	++
hsa-mir-21	O	Gastric cancer	++
hsa-mir-214		Gastric cancer	++
hsa-mir-215		Gastric cancer	++
hsa-mir-222	O	Gastric cancer	--
hsa-mir-223		Gastric cancer	++
hsa-mir-224	O	Gastric cancer	++
hsa-mir-23a		Gastric cancer	++
hsa-mir-27a		Gastric cancer	++
hsa-mir-27b		Gastric cancer	++
hsa-mir-28		Gastric cancer	--
hsa-mir-29b-1		Gastric cancer	++
hsa-mir-29b-2		Gastric cancer	++
hsa-mir-301a	O	Gastric cancer	++
hsa-mir-30a	TS	Gastric cancer	--
hsa-mir-30d		Gastric cancer	--
hsa-mir-331		Gastric cancer	++
hsa-mir-345		Gastric cancer	--
hsa-mir-34a		Gastric cancer	++
hsa-mir-375		Gastric cancer	--
hsa-mir-378a		Gastric cancer	--
hsa-mir-451a	TS	Gastric cancer	++
hsa-mir-486-1	TS	Gastric cancer	--
hsa-mir-486-2	TS	Gastric cancer	--
hsa-mir-494		Gastric cancer	--
hsa-let-7a-1		Gastric cancer	++
hsa-let-7a-2		Gastric cancer	++
hsa-let-7a-3		Gastric cancer	++
hsa-let-7d		Gastric cancer	++
hsa-let-7e	TS	Gastric cancer	++
hsa-let-7f-1		Gastric cancer	++
hsa-let-7f-2		Gastric cancer	++
hsa-let-7g		Gastric cancer	++
hsa-let-7i		Gastric cancer	++
hsa-mir-100	TS	Head and neck cancer	--
hsa-mir-106b	O	Head and neck cancer	++
hsa-mir-10a		Head and neck cancer	--
hsa-mir-10b		Head and neck cancer	--
hsa-mir-1-1	TS	Head and neck cancer	--
hsa-mir-1-2	TS	Head and neck cancer	--
hsa-mir-125a	TS	Head and neck cancer	--
hsa-mir-125b-1		Head and neck cancer	--
hsa-mir-125b-2		Head and neck cancer	--
hsa-mir-126		Head and neck cancer	--
hsa-mir-133a-1	TS	Head and neck cancer	--
hsa-mir-133a-2	TS	Head and neck cancer	--
hsa-mir-135a-1		Head and neck cancer	--
hsa-mir-135a-2		Head and neck cancer	--
hsa-mir-139	TS	Head and neck cancer	--
hsa-mir-140	TS	Head and neck cancer	--
hsa-mir-141		Head and neck cancer	--
hsa-mir-143	TS	Head and neck cancer	--
hsa-mir-144	TS	Head and neck cancer	--
hsa-mir-145	TS	Head and neck cancer	--
hsa-mir-146a		Head and neck cancer	--
hsa-mir-148a		Head and neck cancer	--
hsa-mir-149		Head and neck cancer	++
hsa-mir-150		Head and neck cancer	--
hsa-mir-152		Head and neck cancer	++
hsa-mir-16-1		Head and neck cancer	--
hsa-mir-16-2		Head and neck cancer	--
hsa-mir-18a	O	Head and neck cancer	++
hsa-mir-195	TS	Head and neck cancer	--
hsa-mir-199a-1		Head and neck cancer	--
hsa-mir-199a-2		Head and neck cancer	--
hsa-mir-199b		Head and neck cancer	--
hsa-mir-200b		Head and neck cancer	--
hsa-mir-203a		Head and neck cancer	--
hsa-mir-21	O	Head and neck cancer	++
hsa-mir-25	O	Head and neck cancer	++
hsa-mir-26a-1	TS	Head and neck cancer	--
hsa-mir-26a-2	TS	Head and neck cancer	--
hsa-mir-26b		Head and neck cancer	--
hsa-mir-29a		Head and neck cancer	--
hsa-mir-29b-2		Head and neck cancer	--
hsa-mir-29c	TS	Head and neck cancer	--
hsa-mir-30a	TS	Head and neck cancer	--
hsa-mir-30b		Head and neck cancer	--
hsa-mir-30c-1	TS	Head and neck cancer	--
hsa-mir-30c-2	TS	Head and neck cancer	--
hsa-mir-30e		Head and neck cancer	--
hsa-mir-320a		Head and neck cancer	--
hsa-mir-335		Head and neck cancer	++
hsa-mir-342		Head and neck cancer	--
hsa-mir-34c		Head and neck cancer	++
hsa-mir-375		Head and neck cancer	--
hsa-mir-378a		Head and neck cancer	--
hsa-mir-451a	TS	Head and neck cancer	--
hsa-mir-455		Head and neck cancer	++
hsa-mir-486-1	TS	Head and neck cancer	--
hsa-mir-486-2	TS	Head and neck cancer	--
hsa-mir-497	TS	Head and neck cancer	--
hsa-mir-625		Head and neck cancer	--
hsa-mir-7-1		Head and neck cancer	++
hsa-mir-7-2		Head and neck cancer	++
hsa-mir-7-3		Head and neck cancer	++
hsa-mir-9-1		Head and neck cancer	++
hsa-mir-9-2		Head and neck cancer	++
hsa-mir-93	O	Head and neck cancer	++
hsa-mir-9-3		Head and neck cancer	++
hsa-mir-99a	TS	Head and neck cancer	--
hsa-let-7b	TS	Head and neck cancer	--
hsa-let-7c	TS	Head and neck cancer	--
hsa-let-7e	TS	Head and neck cancer	--
hsa-let-7g		Head and neck cancer	--
hsa-mir-100	TS	Kidney cancer	--
hsa-mir-10a		Kidney cancer	--
hsa-mir-10b		Kidney cancer	--
hsa-mir-124-1		Kidney cancer	--
hsa-mir-124-2		Kidney cancer	--
hsa-mir-124-3		Kidney cancer	--
hsa-mir-125a	TS	Kidney cancer	--
hsa-mir-126		Kidney cancer	--
hsa-mir-138-1	TS	Kidney cancer	--
hsa-mir-138-2	TS	Kidney cancer	--
hsa-mir-139	TS	Kidney cancer	--
hsa-mir-141		Kidney cancer	--
hsa-mir-143	TS	Kidney cancer	--
hsa-mir-145	TS	Kidney cancer	--
hsa-mir-149		Kidney cancer	--
hsa-mir-150		Kidney cancer	--
hsa-mir-194-1		Kidney cancer	--
hsa-mir-194-2		Kidney cancer	--
hsa-mir-195	TS	Kidney cancer	--
hsa-mir-199a-1		Kidney cancer	--
hsa-mir-199a-2		Kidney cancer	--
hsa-mir-199b		Kidney cancer	--
hsa-mir-19b-1		Kidney cancer	--
hsa-mir-200a		Kidney cancer	--
hsa-mir-200b		Kidney cancer	--
hsa-mir-200c		Kidney cancer	--
hsa-mir-203a		Kidney cancer	--
hsa-mir-204	TS	Kidney cancer	--
hsa-mir-206	TS	Kidney cancer	--
hsa-mir-21	O	Kidney cancer	++
hsa-mir-210	O	Kidney cancer	++
hsa-mir-214		Kidney cancer	--
hsa-mir-23b		Kidney cancer	--
hsa-mir-26a-1	TS	Kidney cancer	--
hsa-mir-26a-2	TS	Kidney cancer	--
hsa-mir-27b		Kidney cancer	--
hsa-mir-301a	O	Kidney cancer	++
hsa-mir-30a	TS	Kidney cancer	--
hsa-mir-30b		Kidney cancer	--
hsa-mir-30c-1	TS	Kidney cancer	--
hsa-mir-30c-2	TS	Kidney cancer	--
hsa-mir-30d		Kidney cancer	--
hsa-mir-30e		Kidney cancer	--
hsa-mir-324		Kidney cancer	--
hsa-mir-34a		Kidney cancer	++
hsa-mir-375		Kidney cancer	--
hsa-mir-378a		Kidney cancer	--
hsa-mir-98		Kidney cancer	--
hsa-mir-99b		Kidney cancer	--
hsa-let-7b	TS	Kidney cancer	--
hsa-let-7d		Kidney cancer	--
hsa-let-7e	TS	Kidney cancer	--
hsa-mir-100	TS	Melanoma	YES
hsa-mir-126		Melanoma	YES
hsa-mir-130b		Melanoma	YES
hsa-mir-142		Melanoma	YES
hsa-mir-144	TS	Melanoma	--
hsa-mir-146a		Melanoma	YES
hsa-mir-150		Melanoma	YES
hsa-mir-15b		Melanoma	YES
hsa-mir-181b-1		Melanoma	--
hsa-mir-181b-2		Melanoma	--
hsa-mir-195	TS	Melanoma	YES
hsa-mir-200c		Melanoma	YES
hsa-mir-203a		Melanoma	--
hsa-mir-204	TS	Melanoma	--
hsa-mir-205		Melanoma	--
hsa-mir-21	O	Melanoma	YES
hsa-mir-222	O	Melanoma	YES
hsa-mir-23b		Melanoma	--
hsa-mir-26a-1	TS	Melanoma	--
hsa-mir-26a-2	TS	Melanoma	--
hsa-mir-26b		Melanoma	--
hsa-mir-29a		Melanoma	YES
hsa-mir-29b-1		Melanoma	YES
hsa-mir-29b-2		Melanoma	YES
hsa-mir-30a	TS	Melanoma	YES
hsa-mir-320a		Melanoma	--
hsa-mir-335		Melanoma	YES
hsa-mir-451a	TS	Melanoma	--
hsa-mir-99a	TS	Melanoma	YES
hsa-let-7i		Melanoma	YES
hsa-mir-100	TS	Ovarian cancer	--
hsa-mir-101-1	TS	Ovarian cancer	--
hsa-mir-101-2	TS	Ovarian cancer	--
hsa-mir-10b		Ovarian cancer	--
hsa-mir-1-1	TS	Ovarian cancer	--
hsa-mir-1-2	TS	Ovarian cancer	--
hsa-mir-125a	TS	Ovarian cancer	--
hsa-mir-125b-1		Ovarian cancer	--
hsa-mir-125b-2		Ovarian cancer	--
hsa-mir-126		Ovarian cancer	--
hsa-mir-129-2	TS	Ovarian cancer	--
hsa-mir-133a-1	TS	Ovarian cancer	--
hsa-mir-133a-2	TS	Ovarian cancer	--
hsa-mir-133b	TS	Ovarian cancer	--
hsa-mir-139	TS	Ovarian cancer	--
hsa-mir-140	TS	Ovarian cancer	--
hsa-mir-143	TS	Ovarian cancer	--
hsa-mir-145	TS	Ovarian cancer	--
hsa-mir-148a		Ovarian cancer	--
hsa-mir-149		Ovarian cancer	++
hsa-mir-150		Ovarian cancer	UP/DOWN
hsa-mir-16-1		Ovarian cancer	--
hsa-mir-16-2		Ovarian cancer	--
hsa-mir-193a		Ovarian cancer	--
hsa-mir-193b		Ovarian cancer	--
hsa-mir-195	TS	Ovarian cancer	--
hsa-mir-199a-1		Ovarian cancer	--
hsa-mir-199a-2		Ovarian cancer	--
hsa-mir-19a	O	Ovarian cancer	--
hsa-mir-19b-1		Ovarian cancer	--
hsa-mir-19b-2		Ovarian cancer	--
hsa-mir-204	TS	Ovarian cancer	--
hsa-mir-214		Ovarian cancer	--
hsa-mir-223		Ovarian cancer	--
hsa-mir-23b		Ovarian cancer	--
hsa-mir-24-1		Ovarian cancer	--
hsa-mir-24-2		Ovarian cancer	--
hsa-mir-26a-1	TS	Ovarian cancer	--
hsa-mir-26a-2	TS	Ovarian cancer	--
hsa-mir-26b		Ovarian cancer	--
hsa-mir-27b		Ovarian cancer	--
hsa-mir-28		Ovarian cancer	--
hsa-mir-29a		Ovarian cancer	--
hsa-mir-29b-1		Ovarian cancer	--
hsa-mir-29b-2		Ovarian cancer	--
hsa-mir-29c	TS	Ovarian cancer	--
hsa-mir-30b		Ovarian cancer	--
hsa-mir-30c-1	TS	Ovarian cancer	--
hsa-mir-30c-2	TS	Ovarian cancer	--
hsa-mir-30d		Ovarian cancer	--
hsa-mir-30e		Ovarian cancer	--
hsa-mir-320a		Ovarian cancer	--
hsa-mir-331		Ovarian cancer	--
hsa-mir-335		Ovarian cancer	--
hsa-mir-342		Ovarian cancer	--
hsa-mir-345		Ovarian cancer	++
hsa-mir-34a		Ovarian cancer	--
hsa-mir-34b		Ovarian cancer	--
hsa-mir-423		Ovarian cancer	--
hsa-mir-451a	TS	Ovarian cancer	--
hsa-mir-455		Ovarian cancer	--
hsa-mir-486-1	TS	Ovarian cancer	--
hsa-mir-486-2	TS	Ovarian cancer	--
hsa-mir-497	TS	Ovarian cancer	--
hsa-mir-99a	TS	Ovarian cancer	--
hsa-mir-99b		Ovarian cancer	UP/DOWN
hsa-let-7b	TS	Ovarian cancer	--
hsa-let-7c	TS	Ovarian cancer	--
hsa-let-7g		Ovarian cancer	--
hsa-let-7i		Ovarian cancer	--
hsa-mir-146b		Thyroid cancer	++
hsa-mir-148b		Thyroid cancer	++
hsa-mir-150		Thyroid cancer	--
hsa-mir-181a-1		Thyroid cancer	++
hsa-mir-181a-2		Thyroid cancer	++
hsa-mir-182	O	Thyroid cancer	++
hsa-mir-183	O	Thyroid cancer	++
hsa-mir-21	O	Thyroid cancer	++
hsa-mir-218-1	TS	Thyroid cancer	--
hsa-mir-221		Thyroid cancer	++
hsa-mir-222	O	Thyroid cancer	++
hsa-mir-224	O	Thyroid cancer	++
hsa-mir-301a	O	Thyroid cancer	++
hsa-mir-30b		Thyroid cancer	++
hsa-mir-30c-1	TS	Thyroid cancer	++
hsa-mir-30d		Thyroid cancer	++
hsa-mir-31		Thyroid cancer	++
hsa-mir-32		Thyroid cancer	++
hsa-mir-335		Thyroid cancer	++
hsa-mir-34a		Thyroid cancer	++
hsa-mir-451a	TS	Thyroid cancer	--
hsa-mir-486-1	TS	Thyroid cancer	--
hsa-mir-486-2	TS	Thyroid cancer	--
hsa-mir-93	O	Thyroid cancer	++
hsa-mir-96	O	Thyroid cancer	++
hsa-mir-98		Thyroid cancer	++
hsa-mir-99b		Thyroid cancer	++
hsa-mir-106a		BLCA	++
hsa-mir-106b	O	BLCA	++
hsa-mir-1-1	TS	BLCA	--
hsa-mir-1-2	TS	BLCA	--
hsa-mir-128-1		BLCA	++
hsa-mir-128-2		BLCA	++
hsa-mir-130b		BLCA	++
hsa-mir-133a-1	TS	BLCA	--
hsa-mir-133a-2	TS	BLCA	--
hsa-mir-133b	TS	BLCA	--
hsa-mir-139	TS	BLCA	--
hsa-mir-143	TS	BLCA	--
hsa-mir-145	TS	BLCA	--
hsa-mir-148b		BLCA	++
hsa-mir-149		BLCA	++
hsa-mir-15b		BLCA	++
hsa-mir-16-1		BLCA	++
hsa-mir-16-2		BLCA	++
hsa-mir-17	O	BLCA	++
hsa-mir-181a-1		BLCA	++
hsa-mir-181a-2		BLCA	++
hsa-mir-181b-1		BLCA	++
hsa-mir-181b-2		BLCA	++
hsa-mir-181c		BLCA	++
hsa-mir-182	O	BLCA	++
hsa-mir-183	O	BLCA	++
hsa-mir-18a	O	BLCA	++
hsa-mir-192		BLCA	++
hsa-mir-193b		BLCA	++
hsa-mir-19a	O	BLCA	++
hsa-mir-19b-1		BLCA	++
hsa-mir-19b-2		BLCA	++
hsa-mir-200a		BLCA	++
hsa-mir-200b		BLCA	++
hsa-mir-205		BLCA	++
hsa-mir-20a	O	BLCA	++
hsa-mir-21	O	BLCA	++
hsa-mir-210	O	BLCA	++
hsa-mir-215		BLCA	++
hsa-mir-25	O	BLCA	++
hsa-mir-301a	O	BLCA	++
hsa-mir-30a	TS	BLCA	--
hsa-mir-324		BLCA	++
hsa-mir-331		BLCA	++
hsa-mir-335		BLCA	++
hsa-mir-345		BLCA	++
hsa-mir-423		BLCA	++
hsa-mir-455		BLCA	++
hsa-mir-7-1		BLCA	++
hsa-mir-92a-1		BLCA	++
hsa-mir-92a-2		BLCA	++
hsa-mir-93	O	BLCA	++
hsa-mir-96	O	BLCA	++
hsa-mir-99b		BLCA	++
hsa-let-7g		BLCA	++
hsa-mir-100	TS	BRCA	--
hsa-mir-101-1	TS	BRCA	--
hsa-mir-101-2	TS	BRCA	--
hsa-mir-103a-1	O	BRCA	++
hsa-mir-103a-2	O	BRCA	++
hsa-mir-106a		BRCA	++
hsa-mir-106b	O	BRCA	++
hsa-mir-107		BRCA	++
hsa-mir-10a		BRCA	--
hsa-mir-10b		BRCA	--
hsa-mir-1-1	TS	BRCA	--
hsa-mir-1-2	TS	BRCA	--
hsa-mir-125b-1		BRCA	--
hsa-mir-125b-2		BRCA	--
hsa-mir-126		BRCA	--
hsa-mir-128-1		BRCA	++
hsa-mir-128-2		BRCA	++
hsa-mir-129-1	TS	BRCA	--
hsa-mir-129-2	TS	BRCA	--
hsa-mir-130a		BRCA	--
hsa-mir-130b		BRCA	++
hsa-mir-133a-1	TS	BRCA	--
hsa-mir-133a-2	TS	BRCA	--
hsa-mir-139	TS	BRCA	--
hsa-mir-140	TS	BRCA	--
hsa-mir-141		BRCA	++
hsa-mir-142		BRCA	++
hsa-mir-143	TS	BRCA	--
hsa-mir-144	TS	BRCA	--
hsa-mir-145	TS	BRCA	--
hsa-mir-148a		BRCA	++
hsa-mir-148b		BRCA	++
hsa-mir-149		BRCA	++
hsa-mir-155	O	BRCA	++
hsa-mir-15a		BRCA	++
hsa-mir-15b		BRCA	++
hsa-mir-16-1		BRCA	++
hsa-mir-16-2		BRCA	++
hsa-mir-17	O	BRCA	++
hsa-mir-181a-1		BRCA	++
hsa-mir-181a-2		BRCA	++
hsa-mir-181b-1		BRCA	++
hsa-mir-181b-2		BRCA	++
hsa-mir-181c		BRCA	++
hsa-mir-182	O	BRCA	++
hsa-mir-183	O	BRCA	++
hsa-mir-18a	O	BRCA	++
hsa-mir-192		BRCA	++
hsa-mir-193a		BRCA	--
hsa-mir-194-1		BRCA	++
hsa-mir-194-2		BRCA	++
hsa-mir-195	TS	BRCA	--
hsa-mir-199b		BRCA	--
hsa-mir-19a	O	BRCA	++
hsa-mir-200a		BRCA	++
hsa-mir-200b		BRCA	++
hsa-mir-200c		BRCA	++
hsa-mir-203a		BRCA	++
hsa-mir-204	TS	BRCA	--
hsa-mir-205		BRCA	--
hsa-mir-21	O	BRCA	++
hsa-mir-210	O	BRCA	++
hsa-mir-214		BRCA	--
hsa-mir-215		BRCA	--
hsa-mir-218-1	TS	BRCA	--
hsa-mir-218-2	TS	BRCA	--
